SM2 100k Test started at 2026-08-24T16:28:46.399Z
[2026-08-24T16:28:46.454Z] Warmup OK, starting 100k rounds...
[2026-08-24T17:08:11.770Z] Round 97000/100000 done — 40.4 rounds/sec
[2026-08-24T17:08:24.460Z] Round 96000/100000 done — 40.4 rounds/sec
[2026-08-24T17:08:38.735Z] Round 98000/100000 done — 40.4 rounds/sec
[2026-08-24T17:08:53.458Z] Round 97000/100000 done — 40.3 rounds/sec
[2026-08-24T17:09:08.592Z] Round 99000/100000 done — 40.3 rounds/sec
[2026-08-24T17:09:22.545Z] Round 98000/100000 done — 40.2 rounds/sec
[2026-08-24T17:09:37.352Z] Round 100000/100000 done — 40.3 rounds/sec
[2026-08-24T17:09:37.357Z] 
=== RESULT ===
[2026-08-24T17:09:37.359Z] Total:    100000
[2026-08-24T17:09:37.360Z] Failures: 0
[2026-08-24T17:09:37.362Z] Time:     41.4 min (2483811 ms)
[2026-08-24T17:09:37.363Z] Rate:     ~40.3 rounds/sec
[2026-08-24T17:09:50.519Z] Round 99000/100000 done — 40.2 rounds/sec
[2026-08-24T17:10:18.956Z] Round 100000/100000 done — 40.1 rounds/sec
[2026-08-24T17:10:18.961Z] 
=== RESULT ===
[2026-08-24T17:10:18.962Z] Total:    100000
[2026-08-24T17:10:18.964Z] Failures: 0
[2026-08-24T17:10:18.966Z] Time:     41.5 min (2492556 ms)
[2026-08-24T17:10:18.967Z] Rate:     ~40.1 rounds/sec
